id,isim,mahalle,enlem,boylam,oda_tipi,fiyat,yorum_sayisi
3767688,Guest room in a brand new apartment,Sisli,41.04699,28.98298,Private room,384,0
3769618,Dynamic Lux Stay-inCihangir-Terrace,Beyoglu,41.03104,28.98074,Entire home/apt,453,8
3769664,Dynamic Lux Stay-Cihangir- Economic,Beyoglu,41.03172,28.98113,Entire home/apt,528,23
3769913,Sultanahmet Sea View Family Apart ,Fatih,41.00597,28.97048,Entire home/apt,384,206
3770813,Cozy room in Moda / Kadıköy,Kadikoy,40.98932,29.02232,Private room,82,0
3771110,Cozy and quiet private room,Besiktas,41.07589,29.02291,Private room,158,0
3772840,Homely Two Storey Loft in the heart of Cihangir,Beyoglu,41.03227,28.98399,Entire home/apt,370,1
3774527,"KADIKÖY- MODA ,clean,kind, SEA VİEW",Kadikoy,40.98188,29.03017,Private room,151,13
3783972,Cute and Modern Room in Cihangir,Beyoglu,41.03053,28.98855,Private room,267,1
3785256,Classic 2Be Apartment on Akbiyik St,Fatih,41.00471,28.97952,Entire home/apt,603,37
3785519,"3Be Apartment, Next to Blue Mosque",Fatih,41.00427,28.97903,Entire home/apt,754,22
3786363,"Nice, Large, Modern, Comfortable",Uskudar,41.06758,29.07272,Private room,267,0
3786402,Sıradan bir oda... ,Kadikoy,40.98764,29.06544,Shared room,411,0
3786503,Whole Flat with Bosphorus view ,Uskudar,41.02459,29.01829,Entire home/apt,1035,0
3797539,PERA NEUF LUXURY STUDIO @ BEYOGLU,Beyoglu,41.02841,28.97268,Private room,459,3
3799835,Confortable Room in Kadikoy,Kadikoy,40.98525,29.04745,Private room,199,0
3802153,Studio In Central Location Taksim,Beyoglu,41.03609,28.97414,Entire home/apt,542,0
3813078,Lüks Ev,Sariyer,41.16821,29.0535,Entire home/apt,274,0
3821926,apartment with a fine view/Taksim,Beyoglu,41.03333,28.98631,Private room,357,3
3826905,historical triplex building,Fatih,41.02835,28.94839,Entire home/apt,501,1
3834777,beylikduzu 3 bedroom apartment,Beylikduzu,41.00505,28.67774,Private room,103,0
3835555,Cozy flat with a garden balcony,Beyoglu,41.03548,28.97641,Entire home/apt,89,2
3848219,"New, Luxury, Proper Flat- Beyoglu 4",Beyoglu,41.02872,28.97664,Entire home/apt,398,7
3850088,3 bedroom apartment,Esenyurt,41.0115,28.65335,Private room,432,0
3851985,small and quıte room ın center,Besiktas,41.04733,29.00542,Private room,75,0
3867549,GREAT LOCATION GREAT HOME FR FEMALE,Besiktas,41.05697,29.00203,Private room,459,0
3867822,In the center of downtown,Sisli,41.06176,28.98456,Private room,103,0
